"nrep" "ndet" "site" "day" "year"
"856" 1 0 15 126 1995
"857" 1 0 15 134 1995
"858" 1 0 15 147 1995
"859" 1 0 15 111 1995
"860" 1 0 15 123 1995
"861" 1 0 15 107 1995
"862" 1 0 15 105 1995
"863" 1 0 15 133 1995
"864" 1 0 15 115 1995
"865" 3 0 15 114 1996
"866" 1 0 15 111 1996
"867" 1 0 15 113 1996
"868" 1 0 15 123 1996
"869" 1 0 15 122 1996
"870" 2 0 15 105 1996
"871" 3 0 15 121 1996
"872" 1 0 15 124 1996
"873" 1 0 15 115 1996
"874" 2 0 15 112 1996
"875" 2 0 15 106 1996
"876" 2 0 15 108 1996
"877" 1 0 15 125 1996
"878" 1 0 15 110 1996
"879" 2 0 15 107 1996
"880" 1 0 15 120 1996
"881" 1 0 15 119 1996
"882" 1 0 15 127 1996
"883" 2 0 15 117 1996
"884" 2 0 15 116 1996
"885" 1 0 15 109 1996
"886" 1 0 15 118 1996
"887" 1 0 15 130 1996
"888" 1 0 15 128 1996
"889" 3 0 15 105 2007
"890" 2 0 15 105 2006
"891" 4 0 15 114 2007
"892" 1 0 15 113 1998
"893" 2 0 15 121 2007
"894" 1 0 15 180 2004
"895" 2 1 15 117 2007
"896" 3 0 15 118 2007
"897" 2 0 15 134 2006
"898" 2 0 15 126 2006
"899" 2 0 15 139 2006
"900" 2 0 15 136 2006
"901" 2 0 15 124 2006
"902" 2 0 15 121 2006
"903" 1 0 15 112 2006
"904" 2 0 15 133 2006
"905" 2 0 15 128 2007
"906" 3 0 15 120 2006
"907" 2 0 15 119 2006
"908" 2 0 15 106 2006
"909" 6 0 15 130 2009
"910" 2 0 15 126 2009
"911" 5 0 15 121 2009
"912" 2 0 15 143 2009
"913" 2 0 15 142 2009
"914" 2 0 15 107 2010
"915" 1 0 15 161 2009
"916" 2 0 15 105 2010
"917" 1 0 15 158 2009
"918" 1 0 15 132 2008
"919" 3 0 15 129 2009
"920" 1 0 15 124 2004
"921" 1 0 15 133 2005
"922" 3 0 15 118 2004
"923" 1 0 15 115 2005
"924" 2 0 15 125 2005
"925" 1 0 15 135 2005
"926" 1 0 15 126 2005
